People,Families,Locations,Events,TextChunk
Julia Truong,Legal,"Ho Chi Minh City, Vietnam",Joined International Business Roundtable,"Julia Truong is part of the Legal team, based in Ho Chi Minh City, Vietnam, and recently joined international business roundtable."
Alice Ly,Operations,"Bangkok, Thailand",Spoke at the Annual Finance Forum,"Alice Ly is part of the Operations team, based in Bangkok, Thailand, and recently spoke at the annual finance forum."
Hannah Tran,Engineering,"Ho Chi Minh City, Vietnam",Participated in Corporate Social Responsibility Event,"Hannah Tran is part of the Engineering team, based in Ho Chi Minh City, Vietnam, and recently participated in corporate social responsibility event."
Tina Pham,Marketing,"Beijing, China",Attended UX/UI Design Masterclass,"Tina Pham is part of the Marketing team, based in Beijing, China, and recently attended ux/ui design masterclass."
Victor Nguyen,Management,"Bangkok, Thailand",Completed Emotional Intelligence Training,"Victor Nguyen is part of the Management team, based in Bangkok, Thailand, and recently completed emotional intelligence training."
Paul Tran,Data Science,"Manila, Philippines",Completed Leadership Training Bootcamp,"Paul Tran is part of the Data Science team, based in Manila, Philippines, and recently completed leadership training bootcamp."
Nathan Trinh,Engineering,"Berlin, Germany",Spoke at the Annual Finance Forum,"Nathan Trinh is part of the Engineering team, based in Berlin, Germany, and recently spoke at the annual finance forum."
Tina Pham,Operations,"Sydney, Australia",Completed Advanced Cybersecurity Training,"Tina Pham is part of the Operations team, based in Sydney, Australia, and recently completed advanced cybersecurity training."
Samuel Luong,Management,"Sydney, Australia",Joined Global Marketing Summit,"Samuel Luong is part of the Management team, based in Sydney, Australia, and recently joined global marketing summit."
Julia Ly,Marketing,"Sydney, Australia",Attended Remote Work Productivity Webinar,"Julia Ly is part of the Marketing team, based in Sydney, Australia, and recently attended remote work productivity webinar."
George Ngo,Human Resources,"New Delhi, India",Presented at Machine Learning Meetup,"George Ngo is part of the Human Resources team, based in New Delhi, India, and recently presented at machine learning meetup."
Quinn Nguyen,Sales,"Sydney, Australia",Joined Team Building Offsite in Da Nang,"Quinn Nguyen is part of the Sales team, based in Sydney, Australia, and recently joined team building offsite in da nang."
Edward Huynh,Finance,"New Delhi, India",Joined Global Marketing Summit,"Edward Huynh is part of the Finance team, based in New Delhi, India, and recently joined global marketing summit."
Tina Truong,Data Science,"Bangalore, India",Attended AI for Business Leaders Webinar,"Tina Truong is part of the Data Science team, based in Bangalore, India, and recently attended ai for business leaders webinar."
Fiona Bui,Sales,"Beijing, China",Presented at Machine Learning Meetup,"Fiona Bui is part of the Sales team, based in Beijing, China, and recently presented at machine learning meetup."
Julia Ngo,Operations,"Bangalore, India",Attended UX/UI Design Masterclass,"Julia Ngo is part of the Operations team, based in Bangalore, India, and recently attended ux/ui design masterclass."
Olivia Bui,Legal,"Melbourne, Australia",Participated in Regional Hackathon 2024,"Olivia Bui is part of the Legal team, based in Melbourne, Australia, and recently participated in regional hackathon 2024."
Quinn Luong,Data Science,"New Delhi, India",Completed AWS Cloud Practitioner Certification,"Quinn Luong is part of the Data Science team, based in New Delhi, India, and recently completed aws cloud practitioner certification."
Quinn Ly,Sales,"New Delhi, India",Volunteered at Community Tech Fair,"Quinn Ly is part of the Sales team, based in New Delhi, India, and recently volunteered at community tech fair."
Laura Ngo,Operations,"Tokyo, Japan",Attended Agile Project Management Workshop,"Laura Ngo is part of the Operations team, based in Tokyo, Japan, and recently attended agile project management workshop."
Isaac Le,Marketing,"Melbourne, Australia",Participated in Regional Hackathon 2024,"Isaac Le is part of the Marketing team, based in Melbourne, Australia, and recently participated in regional hackathon 2024."
George Huynh,Sales,"Da Nang, Vietnam",Completed Leadership Training Bootcamp,"George Huynh is part of the Sales team, based in Da Nang, Vietnam, and recently completed leadership training bootcamp."
Fiona Phan,Legal,"Bangalore, India",Attended Agile Project Management Workshop,"Fiona Phan is part of the Legal team, based in Bangalore, India, and recently attended agile project management workshop."
Charlie Mai,Customer Success,"Paris, France",Completed Leadership Training Bootcamp,"Charlie Mai is part of the Customer Success team, based in Paris, France, and recently completed leadership training bootcamp."
Quinn Ta,Product,"Tokyo, Japan",Joined International Business Roundtable,"Quinn Ta is part of the Product team, based in Tokyo, Japan, and recently joined international business roundtable."
Alice Dang,Sales,"Beijing, China",Attended Agile Project Management Workshop,"Alice Dang is part of the Sales team, based in Beijing, China, and recently attended agile project management workshop."
Edward Tran,Finance,"Tokyo, Japan",Engaged in Blockchain for Finance Webinar,"Edward Tran is part of the Finance team, based in Tokyo, Japan, and recently engaged in blockchain for finance webinar."
Isaac Tran,Data Science,"Bangalore, India",Volunteered at Community Tech Fair,"Isaac Tran is part of the Data Science team, based in Bangalore, India, and recently volunteered at community tech fair."
Samuel Ta,Finance,"London, UK",Spoke at the Annual Finance Forum,"Samuel Ta is part of the Finance team, based in London, UK, and recently spoke at the annual finance forum."
Victor Vu,Legal,"New Delhi, India",Attended AI for Business Leaders Webinar,"Victor Vu is part of the Legal team, based in New Delhi, India, and recently attended ai for business leaders webinar."
Olivia Tran,Human Resources,"Shanghai, China",Completed AWS Cloud Practitioner Certification,"Olivia Tran is part of the Human Resources team, based in Shanghai, China, and recently completed aws cloud practitioner certification."
Laura Mai,Sales,"Mumbai, India",Presented at Internal Innovation Day,"Laura Mai is part of the Sales team, based in Mumbai, India, and recently presented at internal innovation day."
Fiona Luong,Management,"Paris, France",Presented at Machine Learning Meetup,"Fiona Luong is part of the Management team, based in Paris, France, and recently presented at machine learning meetup."
Nathan Ngo,Human Resources,"Bangkok, Thailand",Completed Advanced Cybersecurity Training,"Nathan Ngo is part of the Human Resources team, based in Bangkok, Thailand, and recently completed advanced cybersecurity training."
Charlie Bui,Data Science,"Paris, France",Attended Agile Project Management Workshop,"Charlie Bui is part of the Data Science team, based in Paris, France, and recently attended agile project management workshop."
Quinn Do,Data Science,"Seoul, South Korea",Participated in Regional Hackathon 2024,"Quinn Do is part of the Data Science team, based in Seoul, South Korea, and recently participated in regional hackathon 2024."
Olivia Vu,Data Science,"Kuala Lumpur, Malaysia",Joined International Business Roundtable,"Olivia Vu is part of the Data Science team, based in Kuala Lumpur, Malaysia, and recently joined international business roundtable."
Olivia Mai,Finance,"Jakarta, Indonesia",Joined Cross-Cultural Communication Workshop,"Olivia Mai is part of the Finance team, based in Jakarta, Indonesia, and recently joined cross-cultural communication workshop."
Victor Tran,Human Resources,"Kuala Lumpur, Malaysia",Completed AWS Cloud Practitioner Certification,"Victor Tran is part of the Human Resources team, based in Kuala Lumpur, Malaysia, and recently completed aws cloud practitioner certification."
Paul Luong,Data Science,"Berlin, Germany",Completed AWS Cloud Practitioner Certification,"Paul Luong is part of the Data Science team, based in Berlin, Germany, and recently completed aws cloud practitioner certification."
Samuel Nguyen,Management,"New Delhi, India",Attended Remote Work Productivity Webinar,"Samuel Nguyen is part of the Management team, based in New Delhi, India, and recently attended remote work productivity webinar."
Isaac Vu,Engineering,"Sydney, Australia",Joined International Business Roundtable,"Isaac Vu is part of the Engineering team, based in Sydney, Australia, and recently joined international business roundtable."
Isaac Ta,Customer Success,"Manila, Philippines",Attended AI for Business Leaders Webinar,"Isaac Ta is part of the Customer Success team, based in Manila, Philippines, and recently attended ai for business leaders webinar."
Bob Ta,Operations,"Hanoi, Vietnam",Joined Global Marketing Summit,"Bob Ta is part of the Operations team, based in Hanoi, Vietnam, and recently joined global marketing summit."
Kevin Dang,Finance,"Melbourne, Australia",Volunteered at Community Tech Fair,"Kevin Dang is part of the Finance team, based in Melbourne, Australia, and recently volunteered at community tech fair."
Bob Ly,Customer Success,"Mumbai, India",Attended Remote Work Productivity Webinar,"Bob Ly is part of the Customer Success team, based in Mumbai, India, and recently attended remote work productivity webinar."
Charlie Luong,Data Science,"Kuala Lumpur, Malaysia",Participated in Regional Hackathon 2024,"Charlie Luong is part of the Data Science team, based in Kuala Lumpur, Malaysia, and recently participated in regional hackathon 2024."
Nathan Nguyen,Human Resources,Singapore,Finished Data Analytics with Python Course,"Nathan Nguyen is part of the Human Resources team, based in Singapore, and recently finished data analytics with python course."
Paul Luong,Marketing,"Jakarta, Indonesia",Joined Cross-Cultural Communication Workshop,"Paul Luong is part of the Marketing team, based in Jakarta, Indonesia, and recently joined cross-cultural communication workshop."
Victor Phan,Legal,"Kuala Lumpur, Malaysia",Completed AWS Cloud Practitioner Certification,"Victor Phan is part of the Legal team, based in Kuala Lumpur, Malaysia, and recently completed aws cloud practitioner certification."
Edward Le,Marketing,Singapore,Completed Emotional Intelligence Training,"Edward Le is part of the Marketing team, based in Singapore, and recently completed emotional intelligence training."
Olivia Le,Customer Success,"Berlin, Germany",Joined Cross-Cultural Communication Workshop,"Olivia Le is part of the Customer Success team, based in Berlin, Germany, and recently joined cross-cultural communication workshop."
Hannah Trinh,Finance,"Seoul, South Korea",Volunteered at Community Tech Fair,"Hannah Trinh is part of the Finance team, based in Seoul, South Korea, and recently volunteered at community tech fair."
Julia Bui,Human Resources,"Seoul, South Korea",Joined Global Marketing Summit,"Julia Bui is part of the Human Resources team, based in Seoul, South Korea, and recently joined global marketing summit."
Julia Trinh,Management,"Manila, Philippines",Participated in Regional Hackathon 2024,"Julia Trinh is part of the Management team, based in Manila, Philippines, and recently participated in regional hackathon 2024."
Quinn Bui,Marketing,"Shanghai, China",Joined Cross-Cultural Communication Workshop,"Quinn Bui is part of the Marketing team, based in Shanghai, China, and recently joined cross-cultural communication workshop."
Samuel Tran,Management,"Mumbai, India",Presented at Internal Innovation Day,"Samuel Tran is part of the Management team, based in Mumbai, India, and recently presented at internal innovation day."
Nathan Do,Data Science,"Jakarta, Indonesia",Joined Team Building Offsite in Da Nang,"Nathan Do is part of the Data Science team, based in Jakarta, Indonesia, and recently joined team building offsite in da nang."
Paul Dang,Legal,"Bangalore, India",Attended Agile Project Management Workshop,"Paul Dang is part of the Legal team, based in Bangalore, India, and recently attended agile project management workshop."
Tina Truong,Marketing,"Hanoi, Vietnam",Completed Advanced Cybersecurity Training,"Tina Truong is part of the Marketing team, based in Hanoi, Vietnam, and recently completed advanced cybersecurity training."
George Do,Finance,"Beijing, China",Attended Agile Project Management Workshop,"George Do is part of the Finance team, based in Beijing, China, and recently attended agile project management workshop."
Rachel Trinh,Data Science,"Hanoi, Vietnam",Presented at Internal Innovation Day,"Rachel Trinh is part of the Data Science team, based in Hanoi, Vietnam, and recently presented at internal innovation day."
Olivia Pham,Sales,Singapore,Attended Remote Work Productivity Webinar,"Olivia Pham is part of the Sales team, based in Singapore, and recently attended remote work productivity webinar."
George Ta,Product,"Seoul, South Korea",Attended Agile Project Management Workshop,"George Ta is part of the Product team, based in Seoul, South Korea, and recently attended agile project management workshop."
Laura Truong,Human Resources,"Shanghai, China",Spoke at the Annual Finance Forum,"Laura Truong is part of the Human Resources team, based in Shanghai, China, and recently spoke at the annual finance forum."
Samuel Huynh,Sales,"Paris, France",Engaged in Blockchain for Finance Webinar,"Samuel Huynh is part of the Sales team, based in Paris, France, and recently engaged in blockchain for finance webinar."
Quinn Nguyen,Marketing,"Berlin, Germany",Joined International Business Roundtable,"Quinn Nguyen is part of the Marketing team, based in Berlin, Germany, and recently joined international business roundtable."
Paul Ly,Human Resources,"Sydney, Australia",Attended AI for Business Leaders Webinar,"Paul Ly is part of the Human Resources team, based in Sydney, Australia, and recently attended ai for business leaders webinar."
Charlie Ngo,Marketing,"Ho Chi Minh City, Vietnam",Presented at Machine Learning Meetup,"Charlie Ngo is part of the Marketing team, based in Ho Chi Minh City, Vietnam, and recently presented at machine learning meetup."
Samuel Nguyen,Engineering,"Manila, Philippines",Attended UX/UI Design Masterclass,"Samuel Nguyen is part of the Engineering team, based in Manila, Philippines, and recently attended ux/ui design masterclass."
Julia Do,Marketing,"Kuala Lumpur, Malaysia",Joined Cross-Cultural Communication Workshop,"Julia Do is part of the Marketing team, based in Kuala Lumpur, Malaysia, and recently joined cross-cultural communication workshop."
Edward Ly,Finance,"Bangkok, Thailand",Joined International Business Roundtable,"Edward Ly is part of the Finance team, based in Bangkok, Thailand, and recently joined international business roundtable."
Victor Do,Operations,"Sydney, Australia",Completed AWS Cloud Practitioner Certification,"Victor Do is part of the Operations team, based in Sydney, Australia, and recently completed aws cloud practitioner certification."
Laura Le,Finance,"Seoul, South Korea",Volunteered at Community Tech Fair,"Laura Le is part of the Finance team, based in Seoul, South Korea, and recently volunteered at community tech fair."
Charlie Mai,Legal,"Tokyo, Japan",Joined Cross-Cultural Communication Workshop,"Charlie Mai is part of the Legal team, based in Tokyo, Japan, and recently joined cross-cultural communication workshop."
Isaac Ton,Sales,"Jakarta, Indonesia",Attended UX/UI Design Masterclass,"Isaac Ton is part of the Sales team, based in Jakarta, Indonesia, and recently attended ux/ui design masterclass."
Charlie Le,Sales,"Kuala Lumpur, Malaysia",Joined Team Building Offsite in Da Nang,"Charlie Le is part of the Sales team, based in Kuala Lumpur, Malaysia, and recently joined team building offsite in da nang."
Victor Vu,Marketing,"Hanoi, Vietnam",Presented at Machine Learning Meetup,"Victor Vu is part of the Marketing team, based in Hanoi, Vietnam, and recently presented at machine learning meetup."
Isaac Do,Marketing,"Manila, Philippines",Completed Leadership Training Bootcamp,"Isaac Do is part of the Marketing team, based in Manila, Philippines, and recently completed leadership training bootcamp."
George Ton,Finance,"Da Nang, Vietnam",Attended UX/UI Design Masterclass,"George Ton is part of the Finance team, based in Da Nang, Vietnam, and recently attended ux/ui design masterclass."
Alice Le,Engineering,"Da Nang, Vietnam",Completed Leadership Training Bootcamp,"Alice Le is part of the Engineering team, based in Da Nang, Vietnam, and recently completed leadership training bootcamp."
Laura Chau,Data Science,"Tokyo, Japan",Participated in Corporate Social Responsibility Event,"Laura Chau is part of the Data Science team, based in Tokyo, Japan, and recently participated in corporate social responsibility event."
George Vu,Operations,"London, UK",Volunteered at Community Tech Fair,"George Vu is part of the Operations team, based in London, UK, and recently volunteered at community tech fair."
Laura Hoang,Product,"Berlin, Germany",Participated in Regional Hackathon 2024,"Laura Hoang is part of the Product team, based in Berlin, Germany, and recently participated in regional hackathon 2024."
Rachel Le,Operations,"Da Nang, Vietnam",Attended UX/UI Design Masterclass,"Rachel Le is part of the Operations team, based in Da Nang, Vietnam, and recently attended ux/ui design masterclass."
Hannah Ta,Operations,"Tokyo, Japan",Joined Global Marketing Summit,"Hannah Ta is part of the Operations team, based in Tokyo, Japan, and recently joined global marketing summit."
Olivia Trinh,Human Resources,"Manila, Philippines",Completed Leadership Training Bootcamp,"Olivia Trinh is part of the Human Resources team, based in Manila, Philippines, and recently completed leadership training bootcamp."
Charlie Bui,Legal,"Mumbai, India",Completed AWS Cloud Practitioner Certification,"Charlie Bui is part of the Legal team, based in Mumbai, India, and recently completed aws cloud practitioner certification."
Julia Dang,Finance,"Da Nang, Vietnam",Finished Data Analytics with Python Course,"Julia Dang is part of the Finance team, based in Da Nang, Vietnam, and recently finished data analytics with python course."
Samuel Vu,Sales,"Beijing, China",Completed Advanced Cybersecurity Training,"Samuel Vu is part of the Sales team, based in Beijing, China, and recently completed advanced cybersecurity training."
Edward Ton,Finance,"Bangalore, India",Attended UX/UI Design Masterclass,"Edward Ton is part of the Finance team, based in Bangalore, India, and recently attended ux/ui design masterclass."
Bob Phan,Engineering,"London, UK",Spoke at the Annual Finance Forum,"Bob Phan is part of the Engineering team, based in London, UK, and recently spoke at the annual finance forum."
George Ngo,Customer Success,"Bangkok, Thailand",Joined Team Building Offsite in Da Nang,"George Ngo is part of the Customer Success team, based in Bangkok, Thailand, and recently joined team building offsite in da nang."
Julia Tran,Data Science,"Jakarta, Indonesia",Attended AI for Business Leaders Webinar,"Julia Tran is part of the Data Science team, based in Jakarta, Indonesia, and recently attended ai for business leaders webinar."
Fiona Bui,Human Resources,"New Delhi, India",Participated in Corporate Social Responsibility Event,"Fiona Bui is part of the Human Resources team, based in New Delhi, India, and recently participated in corporate social responsibility event."
Samuel Dang,Product,"Shanghai, China",Completed Emotional Intelligence Training,"Samuel Dang is part of the Product team, based in Shanghai, China, and recently completed emotional intelligence training."
Nathan Do,Management,"Kuala Lumpur, Malaysia",Presented at Machine Learning Meetup,"Nathan Do is part of the Management team, based in Kuala Lumpur, Malaysia, and recently presented at machine learning meetup."
George Trinh,Finance,"Kuala Lumpur, Malaysia",Joined Team Building Offsite in Da Nang,"George Trinh is part of the Finance team, based in Kuala Lumpur, Malaysia, and recently joined team building offsite in da nang."
Alice Vu,Marketing,"Jakarta, Indonesia",Joined International Business Roundtable,"Alice Vu is part of the Marketing team, based in Jakarta, Indonesia, and recently joined international business roundtable."
Olivia Ngo,Management,"Ho Chi Minh City, Vietnam",Engaged in Blockchain for Finance Webinar,"Olivia Ngo is part of the Management team, based in Ho Chi Minh City, Vietnam, and recently engaged in blockchain for finance webinar."
Paul Phan,Product,"Tokyo, Japan",Attended Agile Project Management Workshop,"Paul Phan is part of the Product team, based in Tokyo, Japan, and recently attended agile project management workshop."
Victor Chau,Marketing,"Da Nang, Vietnam",Finished Data Analytics with Python Course,"Victor Chau is part of the Marketing team, based in Da Nang, Vietnam, and recently finished data analytics with python course."
Laura Nguyen,Management,"Bangalore, India",Presented at Machine Learning Meetup,"Laura Nguyen is part of the Management team, based in Bangalore, India, and recently presented at machine learning meetup."
Alice Le,Finance,"Tokyo, Japan",Joined Cross-Cultural Communication Workshop,"Alice Le is part of the Finance team, based in Tokyo, Japan, and recently joined cross-cultural communication workshop."
Bob Tran,Marketing,"Jakarta, Indonesia",Joined Team Building Offsite in Da Nang,"Bob Tran is part of the Marketing team, based in Jakarta, Indonesia, and recently joined team building offsite in da nang."
Isaac Vu,Finance,"London, UK",Joined Cross-Cultural Communication Workshop,"Isaac Vu is part of the Finance team, based in London, UK, and recently joined cross-cultural communication workshop."
Nathan Do,Engineering,"Kuala Lumpur, Malaysia",Participated in Corporate Social Responsibility Event,"Nathan Do is part of the Engineering team, based in Kuala Lumpur, Malaysia, and recently participated in corporate social responsibility event."
Victor Pham,Customer Success,"Bangkok, Thailand",Joined Global Marketing Summit,"Victor Pham is part of the Customer Success team, based in Bangkok, Thailand, and recently joined global marketing summit."
Nathan Ngo,Legal,"New Delhi, India",Joined Cross-Cultural Communication Workshop,"Nathan Ngo is part of the Legal team, based in New Delhi, India, and recently joined cross-cultural communication workshop."
Diana Huynh,Human Resources,"Beijing, China",Joined Team Building Offsite in Da Nang,"Diana Huynh is part of the Human Resources team, based in Beijing, China, and recently joined team building offsite in da nang."
Tina Tran,Data Science,"Berlin, Germany",Completed AWS Cloud Practitioner Certification,"Tina Tran is part of the Data Science team, based in Berlin, Germany, and recently completed aws cloud practitioner certification."
George Phan,Product,"Kuala Lumpur, Malaysia",Participated in Corporate Social Responsibility Event,"George Phan is part of the Product team, based in Kuala Lumpur, Malaysia, and recently participated in corporate social responsibility event."
Olivia Nguyen,Data Science,"New Delhi, India",Attended UX/UI Design Masterclass,"Olivia Nguyen is part of the Data Science team, based in New Delhi, India, and recently attended ux/ui design masterclass."
Alice Chau,Operations,"Ho Chi Minh City, Vietnam",Attended Agile Project Management Workshop,"Alice Chau is part of the Operations team, based in Ho Chi Minh City, Vietnam, and recently attended agile project management workshop."
Rachel Dang,Customer Success,"Jakarta, Indonesia",Attended Remote Work Productivity Webinar,"Rachel Dang is part of the Customer Success team, based in Jakarta, Indonesia, and recently attended remote work productivity webinar."
Julia Dang,Customer Success,"Hanoi, Vietnam",Completed Advanced Cybersecurity Training,"Julia Dang is part of the Customer Success team, based in Hanoi, Vietnam, and recently completed advanced cybersecurity training."
Kevin Huynh,Human Resources,"London, UK",Joined Global Marketing Summit,"Kevin Huynh is part of the Human Resources team, based in London, UK, and recently joined global marketing summit."
George Luong,Marketing,"Mumbai, India",Presented at Internal Innovation Day,"George Luong is part of the Marketing team, based in Mumbai, India, and recently presented at internal innovation day."
Fiona Pham,Product,"Paris, France",Attended UX/UI Design Masterclass,"Fiona Pham is part of the Product team, based in Paris, France, and recently attended ux/ui design masterclass."
Quinn Le,Product,"Tokyo, Japan",Completed Advanced Cybersecurity Training,"Quinn Le is part of the Product team, based in Tokyo, Japan, and recently completed advanced cybersecurity training."
Hannah Trinh,Engineering,"Tokyo, Japan",Completed Advanced Cybersecurity Training,"Hannah Trinh is part of the Engineering team, based in Tokyo, Japan, and recently completed advanced cybersecurity training."
Hannah Dang,Data Science,"Melbourne, Australia",Presented at Internal Innovation Day,"Hannah Dang is part of the Data Science team, based in Melbourne, Australia, and recently presented at internal innovation day."
Isaac Nguyen,Customer Success,"Beijing, China",Finished Data Analytics with Python Course,"Isaac Nguyen is part of the Customer Success team, based in Beijing, China, and recently finished data analytics with python course."
Rachel Nguyen,Data Science,"Manila, Philippines",Completed Advanced Cybersecurity Training,"Rachel Nguyen is part of the Data Science team, based in Manila, Philippines, and recently completed advanced cybersecurity training."
Bob Phan,Human Resources,"Kuala Lumpur, Malaysia",Attended UX/UI Design Masterclass,"Bob Phan is part of the Human Resources team, based in Kuala Lumpur, Malaysia, and recently attended ux/ui design masterclass."
Edward Huynh,Human Resources,"Melbourne, Australia",Attended Agile Project Management Workshop,"Edward Huynh is part of the Human Resources team, based in Melbourne, Australia, and recently attended agile project management workshop."
Isaac Hoang,Sales,"Seoul, South Korea",Engaged in Blockchain for Finance Webinar,"Isaac Hoang is part of the Sales team, based in Seoul, South Korea, and recently engaged in blockchain for finance webinar."
Samuel Bui,Engineering,"Beijing, China",Attended UX/UI Design Masterclass,"Samuel Bui is part of the Engineering team, based in Beijing, China, and recently attended ux/ui design masterclass."
Edward Ly,Engineering,"Da Nang, Vietnam",Attended UX/UI Design Masterclass,"Edward Ly is part of the Engineering team, based in Da Nang, Vietnam, and recently attended ux/ui design masterclass."
Samuel Trinh,Legal,"Mumbai, India",Finished Data Analytics with Python Course,"Samuel Trinh is part of the Legal team, based in Mumbai, India, and recently finished data analytics with python course."
Paul Bui,Product,"Kuala Lumpur, Malaysia",Completed Emotional Intelligence Training,"Paul Bui is part of the Product team, based in Kuala Lumpur, Malaysia, and recently completed emotional intelligence training."
Isaac Pham,Legal,"Kuala Lumpur, Malaysia",Joined Cross-Cultural Communication Workshop,"Isaac Pham is part of the Legal team, based in Kuala Lumpur, Malaysia, and recently joined cross-cultural communication workshop."
George Tran,Customer Success,"Tokyo, Japan",Presented at Internal Innovation Day,"George Tran is part of the Customer Success team, based in Tokyo, Japan, and recently presented at internal innovation day."
Nathan Luong,Product,"Kuala Lumpur, Malaysia",Attended Remote Work Productivity Webinar,"Nathan Luong is part of the Product team, based in Kuala Lumpur, Malaysia, and recently attended remote work productivity webinar."
Rachel Ta,Product,"London, UK",Attended Agile Project Management Workshop,"Rachel Ta is part of the Product team, based in London, UK, and recently attended agile project management workshop."
Quinn Do,Data Science,"Paris, France",Attended Remote Work Productivity Webinar,"Quinn Do is part of the Data Science team, based in Paris, France, and recently attended remote work productivity webinar."
Alice Hoang,Sales,"Bangkok, Thailand",Volunteered at Community Tech Fair,"Alice Hoang is part of the Sales team, based in Bangkok, Thailand, and recently volunteered at community tech fair."
Tina Dang,Operations,"Bangkok, Thailand",Completed Emotional Intelligence Training,"Tina Dang is part of the Operations team, based in Bangkok, Thailand, and recently completed emotional intelligence training."
Laura Ta,Marketing,"Berlin, Germany",Attended AI for Business Leaders Webinar,"Laura Ta is part of the Marketing team, based in Berlin, Germany, and recently attended ai for business leaders webinar."
Hannah Ta,Data Science,"New Delhi, India",Attended Agile Project Management Workshop,"Hannah Ta is part of the Data Science team, based in New Delhi, India, and recently attended agile project management workshop."
Charlie Vu,Customer Success,"Seoul, South Korea",Joined Cross-Cultural Communication Workshop,"Charlie Vu is part of the Customer Success team, based in Seoul, South Korea, and recently joined cross-cultural communication workshop."
Nathan Hoang,Operations,"Shanghai, China",Finished Data Analytics with Python Course,"Nathan Hoang is part of the Operations team, based in Shanghai, China, and recently finished data analytics with python course."
Julia Le,Management,"Da Nang, Vietnam",Completed Advanced Cybersecurity Training,"Julia Le is part of the Management team, based in Da Nang, Vietnam, and recently completed advanced cybersecurity training."
Bob Vu,Operations,"Jakarta, Indonesia",Completed Emotional Intelligence Training,"Bob Vu is part of the Operations team, based in Jakarta, Indonesia, and recently completed emotional intelligence training."
Alice Trinh,Customer Success,"Jakarta, Indonesia",Participated in Regional Hackathon 2024,"Alice Trinh is part of the Customer Success team, based in Jakarta, Indonesia, and recently participated in regional hackathon 2024."
Victor Dang,Data Science,"Berlin, Germany",Attended Remote Work Productivity Webinar,"Victor Dang is part of the Data Science team, based in Berlin, Germany, and recently attended remote work productivity webinar."
Fiona Dang,Engineering,"New Delhi, India",Completed AWS Cloud Practitioner Certification,"Fiona Dang is part of the Engineering team, based in New Delhi, India, and recently completed aws cloud practitioner certification."
Edward Nguyen,Sales,"Mumbai, India",Completed Emotional Intelligence Training,"Edward Nguyen is part of the Sales team, based in Mumbai, India, and recently completed emotional intelligence training."
Bob Trinh,Finance,"Paris, France",Joined Cross-Cultural Communication Workshop,"Bob Trinh is part of the Finance team, based in Paris, France, and recently joined cross-cultural communication workshop."
Bob Huynh,Human Resources,"Manila, Philippines",Joined Global Marketing Summit,"Bob Huynh is part of the Human Resources team, based in Manila, Philippines, and recently joined global marketing summit."
Victor Tran,Sales,"Seoul, South Korea",Participated in Regional Hackathon 2024,"Victor Tran is part of the Sales team, based in Seoul, South Korea, and recently participated in regional hackathon 2024."
Diana Vu,Management,"Ho Chi Minh City, Vietnam",Completed AWS Cloud Practitioner Certification,"Diana Vu is part of the Management team, based in Ho Chi Minh City, Vietnam, and recently completed aws cloud practitioner certification."
Olivia Do,Sales,"Mumbai, India",Participated in Regional Hackathon 2024,"Olivia Do is part of the Sales team, based in Mumbai, India, and recently participated in regional hackathon 2024."
Isaac Nguyen,Management,"Da Nang, Vietnam",Joined Global Marketing Summit,"Isaac Nguyen is part of the Management team, based in Da Nang, Vietnam, and recently joined global marketing summit."
Victor Ta,Management,"Kuala Lumpur, Malaysia",Joined Cross-Cultural Communication Workshop,"Victor Ta is part of the Management team, based in Kuala Lumpur, Malaysia, and recently joined cross-cultural communication workshop."
Charlie Huynh,Engineering,"Melbourne, Australia",Volunteered at Community Tech Fair,"Charlie Huynh is part of the Engineering team, based in Melbourne, Australia, and recently volunteered at community tech fair."
Quinn Tran,Customer Success,"New Delhi, India",Completed Emotional Intelligence Training,"Quinn Tran is part of the Customer Success team, based in New Delhi, India, and recently completed emotional intelligence training."
Olivia Ngo,Human Resources,"Ho Chi Minh City, Vietnam",Attended Agile Project Management Workshop,"Olivia Ngo is part of the Human Resources team, based in Ho Chi Minh City, Vietnam, and recently attended agile project management workshop."
Paul Ton,Management,"New Delhi, India",Attended AI for Business Leaders Webinar,"Paul Ton is part of the Management team, based in New Delhi, India, and recently attended ai for business leaders webinar."
Isaac Dang,Sales,"New Delhi, India",Joined Team Building Offsite in Da Nang,"Isaac Dang is part of the Sales team, based in New Delhi, India, and recently joined team building offsite in da nang."
Quinn Le,Operations,"New Delhi, India",Joined Global Marketing Summit,"Quinn Le is part of the Operations team, based in New Delhi, India, and recently joined global marketing summit."
Fiona Le,Engineering,"Berlin, Germany",Presented at Machine Learning Meetup,"Fiona Le is part of the Engineering team, based in Berlin, Germany, and recently presented at machine learning meetup."
Bob Dang,Engineering,"Bangkok, Thailand",Completed Advanced Cybersecurity Training,"Bob Dang is part of the Engineering team, based in Bangkok, Thailand, and recently completed advanced cybersecurity training."
Samuel Nguyen,Engineering,"New Delhi, India",Joined Cross-Cultural Communication Workshop,"Samuel Nguyen is part of the Engineering team, based in New Delhi, India, and recently joined cross-cultural communication workshop."
Charlie Dang,Finance,"Paris, France",Joined International Business Roundtable,"Charlie Dang is part of the Finance team, based in Paris, France, and recently joined international business roundtable."
Olivia Truong,Operations,"Berlin, Germany",Engaged in Blockchain for Finance Webinar,"Olivia Truong is part of the Operations team, based in Berlin, Germany, and recently engaged in blockchain for finance webinar."
